Date,Open,High,Low,Close,Adj Close,Volume
2016-01-12,35400.000000,36250.000000,35400.000000,36100.000000,33138.429688,1191600
2016-01-13,36150.000000,36475.000000,35950.000000,36100.000000,33138.429688,1721600
2016-01-14,35875.000000,36250.000000,35575.000000,35725.000000,32794.195313,2274000
2016-01-15,35775.000000,36200.000000,35775.000000,36000.000000,33046.632813,1175000
2016-01-18,35500.000000,36100.000000,35500.000000,35650.000000,32725.351563,956600
2016-01-19,35975.000000,36200.000000,35600.000000,35900.000000,32954.839844,682800
2016-01-20,35700.000000,36250.000000,35600.000000,35600.000000,32679.445313,2517800
2016-01-21,35875.000000,36200.000000,35600.000000,35800.000000,32863.039063,1558700
2016-01-22,36200.000000,36200.000000,35375.000000,35600.000000,32679.445313,3471400
2016-01-25,35950.000000,36200.000000,35625.000000,35625.000000,32702.396484,1691300
2016-01-26,35800.000000,36150.000000,35600.000000,35975.000000,33023.687500,1703700
2016-01-27,36000.000000,37300.000000,35825.000000,37300.000000,34239.980469,2619700
2016-01-28,37300.000000,37325.000000,36525.000000,37250.000000,34194.085938,1413400
2016-01-29,37150.000000,37150.000000,36100.000000,36700.000000,33689.210938,4925500
2016-02-01,36700.000000,36800.000000,36050.000000,36800.000000,33781.003906,2018800
2016-02-02,36700.000000,37700.000000,36525.000000,37475.000000,34400.628906,3189200
2016-02-03,37300.000000,39000.000000,37000.000000,38625.000000,35456.281250,5302500
2016-02-04,38625.000000,39950.000000,38625.000000,39950.000000,36672.582031,3793600
2016-02-05,39950.000000,41600.000000,39900.000000,40600.000000,37269.257813,4065200
2016-02-09,40600.000000,41000.000000,39625.000000,40850.000000,37498.750000,854200
2016-02-10,41000.000000,41075.000000,40475.000000,40850.000000,37498.750000,1309700
2016-02-11,40900.000000,41550.000000,40500.000000,41550.000000,38141.328125,2214300
2016-02-12,40500.000000,41600.000000,40500.000000,41100.000000,37728.246094,1593200
2016-02-15,41675.000000,41675.000000,41475.000000,41575.000000,38164.269531,1044300
2016-02-16,41500.000000,41525.000000,40550.000000,41000.000000,37636.449219,1327800
2016-02-17,41000.000000,41575.000000,41000.000000,41350.000000,37957.734375,1654500
2016-02-18,41600.000000,41875.000000,40750.000000,41675.000000,38256.074219,2444800
2016-02-19,41675.000000,42775.000000,41525.000000,42750.000000,39242.875000,4082500
2016-02-22,42750.000000,43800.000000,42250.000000,43375.000000,39816.605469,1693500
2016-02-23,43750.000000,44100.000000,40850.000000,42450.000000,38967.492188,3036000
2016-02-24,42400.000000,42400.000000,41200.000000,42000.000000,38554.410156,1567400
2016-02-25,42450.000000,43200.000000,42250.000000,42725.000000,39219.933594,1376100
2016-02-26,43900.000000,43900.000000,42700.000000,43900.000000,40298.535156,1200600
2016-02-29,43950.000000,46175.000000,43500.000000,44525.000000,40872.261719,4274000
2016-03-01,44525.000000,45800.000000,44525.000000,45400.000000,41675.476563,1267800
2016-03-02,45000.000000,47800.000000,45000.000000,47800.000000,43878.585938,3216200
2016-03-03,47800.000000,47800.000000,46000.000000,46425.000000,42616.390625,2832400
2016-03-04,46900.000000,47500.000000,44025.000000,45200.000000,41491.886719,3178100
2016-03-07,45750.000000,45850.000000,44100.000000,44150.000000,40528.023438,1738900
2016-03-08,44150.000000,44450.000000,42500.000000,43500.000000,39931.347656,3915600
2016-03-10,43375.000000,43500.000000,41975.000000,42750.000000,39242.875000,4344100
2016-03-15,44250.000000,44450.000000,43825.000000,44050.000000,40436.234375,2496100
2016-03-16,43500.000000,44100.000000,43500.000000,44050.000000,40436.234375,1352800
2016-03-17,44150.000000,44250.000000,43250.000000,43875.000000,40275.585938,2011000
2016-03-18,43500.000000,44450.000000,43500.000000,44450.000000,40803.414063,3660300
2016-03-21,44000.000000,44750.000000,43675.000000,44000.000000,40390.335938,2057200
2016-03-22,43600.000000,43975.000000,43075.000000,43525.000000,39954.296875,1834500
2016-03-23,43300.000000,43325.000000,42500.000000,43000.000000,39472.371094,3069700
2016-03-24,42500.000000,42825.000000,42400.000000,42525.000000,39036.332031,1581600
2016-03-28,42525.000000,42525.000000,42000.000000,42000.000000,38554.410156,1440900
2016-03-29,42025.000000,42975.000000,42025.000000,42975.000000,39449.421875,3189200
2016-03-30,42950.000000,43225.000000,42500.000000,42975.000000,39449.421875,3123000
2016-03-31,43350.000000,43350.000000,42575.000000,42925.000000,39403.523438,3203100
2016-04-01,43000.000000,43200.000000,42725.000000,43175.000000,39633.011719,1239800
2016-04-04,43350.000000,43800.000000,43200.000000,43500.000000,39931.347656,1534600
2016-04-05,43525.000000,43725.000000,43325.000000,43325.000000,39770.707031,836600
2016-04-06,43025.000000,43500.000000,43000.000000,43500.000000,39931.347656,992000
2016-04-07,43800.000000,43800.000000,43050.000000,43150.000000,39610.070313,1931500
2016-04-08,42700.000000,43375.000000,42550.000000,43000.000000,39472.371094,1461200
2016-04-12,42475.000000,44000.000000,42200.000000,43950.000000,40344.433594,1505900
2016-04-19,43950.000000,43950.000000,43950.000000,43950.000000,40344.433594,0
2016-04-20,45475.000000,46000.000000,44750.000000,45300.000000,41583.683594,3519000
2016-04-21,45300.000000,47125.000000,45125.000000,46500.000000,42685.234375,3727500
2016-04-22,46500.000000,47300.000000,45525.000000,47000.000000,43144.218750,2413000
2016-04-25,46450.000000,46450.000000,44300.000000,44775.000000,41101.753906,3210200
2016-04-26,44775.000000,44775.000000,43650.000000,43900.000000,40298.535156,1934600
2016-04-27,43800.000000,44150.000000,43300.000000,44150.000000,40528.023438,1748500
2016-04-28,44150.000000,44175.000000,42825.000000,43475.000000,39908.398438,2134000
2016-04-29,43475.000000,43475.000000,42575.000000,42575.000000,39082.234375,1657600
2016-05-02,42600.000000,43250.000000,42350.000000,43250.000000,39701.863281,575600
2016-05-03,43475.000000,43775.000000,43400.000000,43775.000000,40183.792969,1280000
2016-05-04,43800.000000,45150.000000,43350.000000,45150.000000,41445.992188,2387900
